county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee,mail_in
PHILADELPHIA,01-08,Registered Voters,,REP,Registered Voters,59,,,,
PHILADELPHIA,01-08,Ballots Cast,,,Ballots Cast,264,83,3,26,152
PHILADELPHIA,01-08,Ballots Cast,,DEM,Ballots Cast,242,74,3,23,142
PHILADELPHIA,01-08,Ballots Cast,,NPA,Ballots Cast,8,3,0,0,5
PHILADELPHIA,01-08,Ballots Cast,,REP,Ballots Cast,14,6,0,3,5
PHILADELPHIA,01-08,President,,DEM,BERNIE SANDERS,105,30,3,8,64
PHILADELPHIA,01-08,President,,DEM,Joseph R. Biden,123,37,0,14,72
PHILADELPHIA,01-08,President,,DEM,TULSI GABBARD,1,1,0,0,0
PHILADELPHIA,01-08,President,,DEM,Write-ins,3,1,0,0,2
PHILADELPHIA,01-08,President,,REP,BILL WELD,1,0,0,0,1
PHILADELPHIA,01-08,President,,REP,Donald J. Trump,10,5,0,3,2
PHILADELPHIA,01-08,President,,REP,ROQUE ROCKY DE LA FUENTE,0,0,0,0,0
PHILADELPHIA,01-08,President,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-08,Attorney General,,DEM,JOSH SHAPIRO,187,48,2,18,119
PHILADELPHIA,01-08,Attorney General,,DEM,Write-ins,1,0,0,0,1
PHILADELPHIA,01-08,Attorney General,,REP,HEATHER HEIDELBAUGH,9,2,0,3,4
PHILADELPHIA,01-08,Attorney General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-08,Auditor General,,DEM,CHRISTINA M HARTMAN,9,1,0,1,7
PHILADELPHIA,01-08,Auditor General,,DEM,H SCOTT CONKLIN,7,3,0,1,3
