county,precinct,office,district,party,candidate,votes
Box Elder,ELWD,President,,Republican,MATTHEW JOHN MATERN,2
Box Elder,ELWD,President,,Republican,BOB ELY,0
Box Elder,ELWD,President,,Republican,JOE WALSH,3
Box Elder,ELWD,President,,Republican,BILL WELD,9
Box Elder,ELWD,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",1
Box Elder,ELWD,President,,Republican,DONALD J. TRUMP,214
Box Elder,FLDG1,President,,Democrat,JULIÁN CASTRO,0
Box Elder,FLDG1,President,,Democrat,ANDREW YANG,0
Box Elder,FLDG1,President,,Democrat,CORY BOOKER,0
Box Elder,FLDG1,President,,Democrat,PETE BUTTIGIEG,2
Box Elder,FLDG1,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,FLDG1,President,,Democrat,MICHAEL R. BLOOMBERG,3
Box Elder,FLDG1,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,FLDG1,President,,Democrat,JOSEPH R. BIDEN,2
Box Elder,FLDG1,President,,Democrat,BERNIE SANDERS,0
Box Elder,FLDG1,President,,Democrat,TOM STEYER,0
Box Elder,FLDG1,President,,Democrat,ELIZABETH WARREN,1
Box Elder,FLDG1,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,FLDG1,President,,Democrat,TULSI GABBARD,0
Box Elder,FLDG1,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,FLDG1,President,,Democrat,DEVAL PATRICK,0
Box Elder,FLDG1,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,FLDG1,President,,Republican,ROBERT ARDINI,1
Box Elder,FLDG1,President,,Republican,MATTHEW JOHN MATERN,0
Box Elder,FLDG1,President,,Republican,BOB ELY,0
Box Elder,FLDG1,President,,Republican,JOE WALSH,1
Box Elder,FLDG1,President,,Republican,BILL WELD,3
Box Elder,FLDG1,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,FLDG1,President,,Republican,DONALD J. TRUMP,87
Box Elder,FLDG2,President,,Democrat,JULIÁN CASTRO,0
Box Elder,FLDG2,President,,Democrat,ANDREW YANG,0
Box Elder,FLDG2,President,,Democrat,CORY BOOKER,0
Box Elder,FLDG2,President,,Democrat,PETE BUTTIGIEG,0
Box Elder,FLDG2,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,FLDG2,President,,Democrat,MICHAEL R. BLOOMBERG,2
