town,ward,precinct,office,district,party,candidate,votes
Newton,5,1,President,,Republican,Donald J. Trump,97
New Bedford,5,E,President,,Green-Rainbow,David Rolde,0
Greenfield,,4,President,,Democratic,Deval Patrick,4
Marshfield,,7,President,,Libertarian,No Preference,0
Attleboro,2,A,President,,Democratic,"Joseph R. Biden, Jr.",200
Framingham,,3,President,,Democratic,Blanks,0
Peabody,5,2,President,,Libertarian,No Preference,0
Revere,2,3A,President,,Green-Rainbow,All Others,0
Boston,12,6,President,,Libertarian,Blanks,0
Brookline,,13,President,,Democratic,Elizabeth A. Warren,427
Bridgewater,,4,President,,Green-Rainbow,Blanks,0
Boston,21,10,President,,Democratic,All Others,0
Haverhill,1,1,President,,Democratic,No Preference,0
Hingham,,3,President,,Libertarian,Kenneth Reed Armstrong,0
Walpole,,8,President,,Democratic,Michael R. Bloomberg,107
Hudson,,7,President,,Democratic,Deval Patrick,4
Lowell,6,1,President,,Libertarian,No Preference,0
Haverhill,2,3,President,,Democratic,Pete Buttigieg,4
Haverhill,3,1,President,,Democratic,Andrew Yang,0
Methuen,,1,President,,Democratic,Andrew Yang,1
Bedford,,2,President,,Republican,Blanks,1
Brockton,2,D,President,,Green-Rainbow,All Others,0
Boston,22,13,President,,Libertarian,Total Votes Cast,2
Lowell,4,1,President,,Libertarian,No Preference,0
Andover,,9,President,,Democratic,Blanks,1
Lynn,1,2,President,,Democratic,Bernie Sanders,225
Revere,2,3,President,,Democratic,Tulsi Gabbard,0
Boston,14,9,President,,Libertarian,All Others,0
Sturbridge,,3,President,,Democratic,Elizabeth A. Warren,102
Chelmsford,,2,President,,Democratic,All Others,1
Gardner,5,A,President,,Green-Rainbow,Blanks,0
Lowell,6,3,President,,Democratic,Total Votes Cast,454
Chicopee,6,AS,President,,Democratic,Tulsi Gabbard,5
Holden,,5,President,,Democratic,Cory Booker,0
Westwood,,1,President,,Libertarian,Total Votes Cast,0
Newton,8,1,President,,Libertarian,Jacob George Hornberger,0
Springfield,4,A,President,,Green-Rainbow,No Preference,0
Somerset,,2,President,,Democratic,Amy Klobuchar,5
Blackstone,,1,President,,Republican,William F. Weld,8
Charlton,,2,President,,Democratic,Michael R. Bloomberg,55
Saugus,,4,President,,Republican,Joe Walsh,0
Billerica,,6,President,,Republican,All Others,1
Sutton,,1,President,,Republican,All Others,0
Boston,15,4,President,,Libertarian,All Others,0
Boston,14,1,President,,Green-Rainbow,No Preference,1
Marshfield,,3,President,,Democratic,Cory Booker,0
Webster,,2,President,,Libertarian,Jacob George Hornberger,0
Lawrence,E,1,President,,Libertarian,Max Abramson,0
Leicester,,1,President,,Libertarian,Adam Kokesh,0
Wayland,,2,President,,Green-Rainbow,Howard Hawkins,0
Springfield,7,B,President,,Republican,Donald J. Trump,69
Dedham,,3,President,,Democratic,Michael Bennet,1
Greenfield,,8,President,,Democratic,Elizabeth A. Warren,99
Cambridge,4,3,President,,Libertarian,Total Votes Cast,0
Oxford,,3,President,,Republican,All Others,1
Peabody,5,2,President,,Libertarian,Kimberly Margaret Ruff,0
Arlington,,20,President,,Democratic,Total Votes Cast,820
Cambridge,9,2,President,,Democratic,Michael Bennet,1
Newton,2,2,President,,Democratic,"Joseph R. Biden, Jr.",252
Watertown,,2,President,,Green-Rainbow,Dario Hunter,0
Freetown,,3,President,,Democratic,Julian Castro,0
Abington,,1,President,,Green-Rainbow,David Rolde,0
Kingston,,1,President,,Republican,Joe Walsh,1
Yarmouth,,7,President,,Democratic,All Others,2
Randolph,,6,President,,Republican,Total Votes Cast,64
Springfield,2,D,President,,Green-Rainbow,Dario Hunter,1
Newburyport,1,P,President,,Democratic,Michael R. Bloomberg,23
Northborough,,3,President,,Democratic,Blanks,0
Lynnfield,,1,President,,Republican,Donald J. Trump,187
Westfield,6,B,President,,Democratic,Tulsi Gabbard,1
Medway,,3,President,,Libertarian,No Preference,0
Topsfield,,1,President,,Libertarian,Jacob George Hornberger,0
Boston,1,10,President,,Libertarian,Samuel Joseph Robb,0
Medway,,1,President,,Democratic,Pete Buttigieg,11
Boston,8,2,President,,Democratic,Julian Castro,0
Spencer,,2,President,,Democratic,Blanks,1
Medway,,2,President,,Democratic,No Preference,3
Taunton,1,A,President,,Democratic,Andrew Yang,2
Watertown,,1,President,,Democratic,Deval Patrick,4
Revere,1,2,President,,Republican,William F. Weld,3
Boston,21,14,President,,Libertarian,Max Abramson,0
Marlborough,2,2,President,,Republican,No Preference,1
Medford,7,1,President,,Republican,Joe Walsh,0
Danvers,,8,President,,Libertarian,Jo Jorgensen,0
New Bedford,1,A,President,,Libertarian,Adam Kokesh,0
Westborough,,4,President,,Libertarian,Adam Kokesh,0
Brockton,6,B,President,,Libertarian,Jo Jorgensen,0
Lowell,10,3,President,,Green-Rainbow,Dario Hunter,0
Springfield,5,H,President,,Democratic,Total Votes Cast,355
Boston,10,8,President,,Democratic,No Preference,2
Buckland,,1,President,,Republican,No Preference,0
Boston,11,10,President,,Green-Rainbow,All Others,2
Saugus,,3,President,,Republican,Donald J. Trump,166
Boston,12,8,President,,Libertarian,Jo Jorgensen,0
Stockbridge,,1,President,,Green-Rainbow,Skcm Curry,0
Dennis,,4,President,,Democratic,Total Votes Cast,776
Bernardston,,1,President,,Democratic,Deval Patrick,3
Barre,,1,President,,Green-Rainbow,Blanks,0
Malden,1,1,President,,Democratic,Amy Klobuchar,0
Milton,,3,President,,Democratic,Julian Castro,0
Quincy,5,5,President,,Democratic,Cory Booker,0
Middleton,,2,President,,Green-Rainbow,Dario Hunter,0
Holland,,1,President,,Libertarian,Total Votes Cast,5
Mount Washington,,1,President,,Libertarian,Jacob George Hornberger,0
Northbridge,,2,President,,Republican,Total Votes Cast,180
Beverly,1,1,President,,Republican,Joe Walsh,3
Lynn,7,2,President,,Green-Rainbow,Blanks,0
Danvers,,8,President,,Democratic,Elizabeth A. Warren,65
Springfield,8,B,President,,Republican,All Others,0
Methuen,,9,President,,Democratic,Pete Buttigieg,30
Sunderland,,1,President,,Democratic,Blanks,0
Fitchburg,1,B,President,,Democratic,Elizabeth A. Warren,52
Blandford,,1,President,,Libertarian,No Preference,0
Hadley,,1,President,,Libertarian,Total Votes Cast,1
Franklin,,3,President,,Libertarian,Arvin Vohra,0
Worcester,5,4,President,,Libertarian,Max Abramson,1
Russell,,1,President,,Democratic,Deval Patrick,4
Sunderland,,1,President,,Libertarian,Jo Jorgensen,0
Chicopee,4,B,President,,Libertarian,Jo Jorgensen,0
Weymouth,,15,President,,Libertarian,Adam Kokesh,0
Bourne,,5,President,,Green-Rainbow,David Rolde,0
Lowell,9,1,President,,Democratic,Total Votes Cast,384
Ashfield,,1,President,,Republican,Donald J. Trump,35
Westfield,3,B,President,,Libertarian,Jo Jorgensen,0
Lunenburg,,B,President,,Democratic,Andrew Yang,0
Medway,,3,President,,Libertarian,Kimberly Margaret Ruff,0
Somerville,4,1,President,,Green-Rainbow,Kent Mesplay,0
Ashland,,4,President,,Green-Rainbow,Skcm Curry,0
Shrewsbury,,10,President,,Democratic,Amy Klobuchar,7
Raynham,,2A,President,,Libertarian,Arvin Vohra,0
Boston,20,18,President,,Libertarian,Kenneth Reed Armstrong,0
Burlington,,2,President,,Green-Rainbow,Skcm Curry,0
Natick,,4,President,,Libertarian,Kenneth Reed Armstrong,0
Haverhill,7,1,President,,Democratic,John K. Delaney,0
Wellesley,,D,President,,Republican,All Others,3
Marlborough,1,1,President,,Democratic,All Others,1
Duxbury,,6,President,,Republican,Joe Walsh,3
Brookline,,10,President,,Libertarian,Kenneth Reed Armstrong,0
Gloucester,4,1,President,,Libertarian,Max Abramson,0
Templeton,,C,President,,Green-Rainbow,Blanks,0
Boston,15,6,President,,Democratic,All Others,1
Leicester,,4,President,,Democratic,Michael Bennet,0
Methuen,,12,President,,Democratic,Marianne Williamson,0
Franklin,,8,President,,Green-Rainbow,Howard Hawkins,0
Mashpee,,3,President,,Green-Rainbow,All Others,1
Salem,1,1,President,,Republican,Roque De La Fuente,1
Worcester,7,2,President,,Libertarian,Total Votes Cast,0
Boston,4,7,President,,Libertarian,Max Abramson,0
Norton,,3,President,,Democratic,Deval Patrick,5
Burlington,,4,President,,Libertarian,Adam Kokesh,0
Attleboro,3,B,President,,Green-Rainbow,Blanks,0
Paxton,,1,President,,Green-Rainbow,David Rolde,0
Sudbury,,1A,President,,Libertarian,Jo Jorgensen,0
Amherst,,3,President,,Democratic,"Joseph R. Biden, Jr.",72
Quincy,6,1,President,,Libertarian,No Preference,0
Newburyport,2,1,President,,Green-Rainbow,Skcm Curry,0
Ashby,,1,President,,Green-Rainbow,No Preference,1
Saugus,,8,President,,Democratic,"Joseph R. Biden, Jr.",189
Carver,,1,President,,Libertarian,Arvin Vohra,0
Williamsburg,,1,President,,Democratic,Total Votes Cast,1049
Arlington,,12,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Salem,3,1,President,,Democratic,No Preference,3
Springfield,5,E,President,,Green-Rainbow,No Preference,0
Blackstone,,1,President,,Libertarian,All Others,2
Amherst,,7,President,,Democratic,Michael Bennet,0
Salem,7,1,President,,Republican,All Others,3
Cambridge,8,2,President,,Democratic,Tom Steyer,0
Clinton,,3,President,,Democratic,Bernie Sanders,205
New Bedford,4,C,President,,Democratic,Deval Patrick,4
Worcester,10,4,President,,Democratic,Bernie Sanders,116
Wellesley,,D,President,,Green-Rainbow,Skcm Curry,1
Millis,,3,President,,Republican,Blanks,0
Norwood,,2,President,,Libertarian,Arvin Vohra,0
Lowell,7,2,President,,Green-Rainbow,Skcm Curry,0
Lawrence,E,4,President,,Democratic,All Others,1
Franklin,,7,President,,Libertarian,Total Votes Cast,2
Boston,19,5,President,,Green-Rainbow,All Others,0
Worcester,7,5,President,,Libertarian,Total Votes Cast,3
Plainville,,3,President,,Green-Rainbow,Kent Mesplay,0
Sturbridge,,1,President,,Libertarian,Samuel Joseph Robb,0
Boston,1,9,President,,Libertarian,Samuel Joseph Robb,0
Wilmington,,1,President,,Libertarian,No Preference,0
Natick,,5,President,,Libertarian,Vermin Love Supreme,0
Andover,,4,President,,Green-Rainbow,Kent Mesplay,0
Boston,17,3,President,,Libertarian,Adam Kokesh,1
Waltham,9,2,President,,Libertarian,Vermin Love Supreme,1
N. Adams,1,1,President,,Libertarian,Blanks,1
Hingham,,4,President,,Libertarian,Adam Kokesh,0
Fall River,3,C,President,,Republican,Donald J. Trump,81
Leicester,,3,President,,Democratic,Bernie Sanders,123
Reading,,5,President,,Democratic,Amy Klobuchar,20
Boston,1,13,President,,Green-Rainbow,Skcm Curry,0
Foxborough,,3,President,,Republican,Donald J. Trump,244
Springfield,6,F,President,,Democratic,Cory Booker,0
Cambridge,4,2,President,,Democratic,John K. Delaney,0
Townsend,,2,President,,Democratic,Tulsi Gabbard,9
Plymouth,,12,President,,Republican,Donald J. Trump,341
Mount Washington,,1,President,,Republican,William F. Weld,0
Boston,16,4,President,,Libertarian,No Preference,0
Webster,,1,President,,Libertarian,Total Votes Cast,2
Montgomery,,1,President,,Democratic,Marianne Williamson,0
New Bedford,2,C,President,,Libertarian,Blanks,0
Brockton,2,C,President,,Republican,Roque De La Fuente,0
Northampton,2,A,President,,Libertarian,Adam Kokesh,0
N. Andover,,8,President,,Libertarian,All Others,0
Fall River,1,C,President,,Republican,Donald J. Trump,89
Wakefield,,5,President,,Democratic,Tulsi Gabbard,9
Boston,5,5,President,,Democratic,Bernie Sanders,30
Brewster,,2,President,,Libertarian,Blanks,0
Lowell,7,3,President,,Green-Rainbow,Kent Mesplay,0
Fall River,8,C,President,,Democratic,"Joseph R. Biden, Jr.",253
Boston,22,9,President,,Democratic,Michael R. Bloomberg,25
Malden,2,1,President,,Democratic,Andrew Yang,1
Newton,2,2,President,,Libertarian,Arvin Vohra,0
Waltham,1,1,President,,Libertarian,All Others,0
Boston,15,8,President,,Democratic,Deval Patrick,1
Boston,1,1,President,,Democratic,Total Votes Cast,616
Leominster,1,A,President,,Democratic,"Joseph R. Biden, Jr.",223
Stow,,1,President,,Democratic,Bernie Sanders,262
Sudbury,,1A,President,,Democratic,"Joseph R. Biden, Jr.",117
Avon,,1,President,,Green-Rainbow,Blanks,0
New Braintree,,1,President,,Republican,All Others,0
Boston,6,5,President,,Democratic,Andrew Yang,2
Taunton,7,B,President,,Libertarian,Max Abramson,0
Chicopee,6,AS,President,,Republican,All Others,0
Boston,7,7,President,,Democratic,Andrew Yang,1
Springfield,5,D,President,,Green-Rainbow,David Rolde,0
Carver,,3,President,,Democratic,No Preference,7
Holyoke,7,B,President,,Republican,Blanks,0
W. Boylston,,2,President,,Libertarian,Total Votes Cast,3
Shrewsbury,,8,President,,Democratic,Cory Booker,1
Boston,6,8,President,,Democratic,No Preference,2
Lawrence,A,2,President,,Libertarian,Arvin Vohra,0
Fall River,7,B,President,,Democratic,Deval Patrick,1
Gloucester,1,2,President,,Republican,Joe Walsh,0
Wellesley,,H,President,,Libertarian,Vermin Love Supreme,0
Medfield,,2,President,,Democratic,Elizabeth A. Warren,169
Arlington,,5,President,,Democratic,Michael Bennet,0
Malden,6,1,President,,Green-Rainbow,Skcm Curry,0
Lawrence,D,2,President,,Republican,No Preference,0
Holden,,2,President,,Democratic,Marianne Williamson,1
Everett,5,2,President,,Republican,Joe Walsh,1
Needham,,G,President,,Republican,No Preference,4
Worcester,8,1,President,,Democratic,Andrew Yang,0
Yarmouth,,5,President,,Democratic,Elizabeth A. Warren,74
Milford,,7,President,,Republican,Total Votes Cast,215
Brockton,4,D,President,,Libertarian,Adam Kokesh,0
Danvers,,8,President,,Democratic,"Joseph R. Biden, Jr.",209
New Bedford,5,E,President,,Democratic,Cory Booker,0
Stoughton,,8,President,,Republican,All Others,0
Boston,4,3,President,,Republican,Blanks,1
Springfield,6,F,President,,Republican,William F. Weld,3
Holyoke,6,B,President,,Democratic,Amy Klobuchar,6
Maynard,,3,President,,Democratic,No Preference,2
E. Longmeadow,,3,President,,Democratic,Tulsi Gabbard,4
Quincy,6,3,President,,Republican,Roque De La Fuente,1
Framingham,,6,President,,Green-Rainbow,David Rolde,0
Boston,16,4,President,,Libertarian,Kimberly Margaret Ruff,0
Watertown,,5,President,,Green-Rainbow,David Rolde,0
New Bedford,6,C,President,,Republican,Total Votes Cast,27
Springfield,7,D,President,,Democratic,John K. Delaney,0
Andover,,4,President,,Democratic,John K. Delaney,0
Greenfield,,6,President,,Democratic,Elizabeth A. Warren,170
Agawam,,8,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Millville,,1,President,,Republican,Joe Walsh,2
Sturbridge,,1,President,,Democratic,Tulsi Gabbard,5
Framingham,,12,President,,Democratic,Cory Booker,0
Lowell,1,1,President,,Democratic,Tulsi Gabbard,2
Springfield,2,E,President,,Libertarian,Vermin Love Supreme,0
Boston,9,5,President,,Libertarian,Arvin Vohra,0
Lynn,4,1,President,,Democratic,Marianne Williamson,0
Boston,10,2,President,,Green-Rainbow,Total Votes Cast,0
Marlborough,3,2,President,,Libertarian,Samuel Joseph Robb,0
Salem,4,1,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Longmeadow,,E,President,,Libertarian,Total Votes Cast,0
Ashburnham,,1,President,,Democratic,Tulsi Gabbard,15
Wrentham,,3,President,,Republican,All Others,2
Worcester,1,4,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Barnstable,,2,President,,Green-Rainbow,No Preference,0
Quincy,6,3,President,,Democratic,Cory Booker,0
Worcester,7,2,President,,Libertarian,Max Abramson,0
Boston,20,12,President,,Libertarian,Jo Jorgensen,0
Boston,5,10,President,,Libertarian,Max Abramson,0
Palmer,,2,President,,Green-Rainbow,All Others,0
Quincy,1,4,President,,Green-Rainbow,All Others,0
Springfield,7,A,President,,Green-Rainbow,Kent Mesplay,0
Boston,20,9,President,,Democratic,All Others,0
Bellingham,,3,President,,Democratic,Amy Klobuchar,7
Westwood,,2,President,,Green-Rainbow,Total Votes Cast,0
Worcester,10,4,President,,Green-Rainbow,Blanks,0
Northborough,,4,President,,Libertarian,Max Abramson,0
Easton,,5,President,,Green-Rainbow,No Preference,1
Chicopee,5,A,President,,Democratic,No Preference,0
Brewster,,2,President,,Libertarian,Adam Kokesh,0
Holliston,,2,President,,Democratic,"Joseph R. Biden, Jr.",369
Quincy,2,4,President,,Republican,Blanks,1
Boston,22,5,President,,Green-Rainbow,Skcm Curry,0
Needham,,E,President,,Green-Rainbow,Total Votes Cast,0
Haverhill,6,1,President,,Republican,No Preference,2
Lynn,1,1,President,,Democratic,Andrew Yang,2
Reading,,2,President,,Democratic,Tulsi Gabbard,10
Boston,13,2,President,,Democratic,Elizabeth A. Warren,14
Worcester,9,4,President,,Democratic,Total Votes Cast,831
Buckland,,1,President,,Republican,All Others,1
Cambridge,8,2,President,,Libertarian,Blanks,0
Amesbury,,5,President,,Democratic,No Preference,1
Boston,22,13,President,,Democratic,Tom Steyer,1
Dracut,,9,President,,Libertarian,Max Abramson,0
Dennis,,5,President,,Libertarian,Max Abramson,0
Carver,,2,President,,Democratic,Deval Patrick,2
Milton,,1,President,,Democratic,Blanks,2
Boston,18,19,President,,Democratic,John K. Delaney,0
Springfield,7,G,President,,Democratic,Bernie Sanders,109
Dartmouth,,4,President,,Libertarian,Max Abramson,0
Revere,4,3,President,,Green-Rainbow,All Others,0
Halifax,,1,President,,Democratic,Total Votes Cast,681
Plymouth,,11,President,,Democratic,Total Votes Cast,861
New Bedford,1,A,President,,Libertarian,All Others,0
Brockton,6,B,President,,Libertarian,Total Votes Cast,6
Gloucester,5,1,President,,Democratic,Amy Klobuchar,7
Fitchburg,6,A,President,,Republican,No Preference,1
Walpole,,5,President,,Democratic,John K. Delaney,2
Arlington,,12,President,,Libertarian,Kimberly Margaret Ruff,0
Worcester,4,2,President,,Democratic,Pete Buttigieg,13
Fitchburg,3,B,President,,Libertarian,Samuel Joseph Robb,0
Newton,6,2,President,,Libertarian,No Preference,1
Nahant,,1,President,,Libertarian,Jo Jorgensen,0
Brimfield,,1,President,,Democratic,Michael R. Bloomberg,75
Leominster,4,A,President,,Democratic,Pete Buttigieg,14
Boston,5,1,President,,Democratic,Deval Patrick,2
Dartmouth,,9,President,,Democratic,Deval Patrick,8
Arlington,,10,President,,Democratic,Bernie Sanders,204
Erving,,1,President,,Democratic,Deval Patrick,1
Swampscott,,6,President,,Libertarian,Samuel Joseph Robb,0
W. Springfield,,6,President,,Democratic,Marianne Williamson,0
Rockland,,1,President,,Democratic,Cory Booker,0
Braintree,,2A,President,,Republican,Total Votes Cast,254
Boston,10,8,President,,Green-Rainbow,Blanks,0
Sutton,,2,President,,Green-Rainbow,No Preference,0
Springfield,2,H,President,,Republican,No Preference,0
Lawrence,F,1,President,,Democratic,Total Votes Cast,404
Hampden,,1,President,,Republican,Blanks,0
Bridgewater,,4,President,,Republican,William F. Weld,10
