state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
ID,Lemhi,2938.0,1061.0,1624.0,203.0,0.8888888888888888,0.7346836709177295,1827.0,3999.0
ID,Lewis,1275.0,479.0,563.0,254.0,0.6891064871481029,0.7269099201824402,817.0,1754.0
ID,Lincoln,1232.0,545.0,715.0,154.0,0.8227848101265823,0.6933033202025887,869.0,1777.0
ID,Madison,11131.0,1627.0,3586.0,157.0,0.9580550360673257,0.8724721743219941,3743.0,12758.0
ID,Minidoka,5087.0,1630.0,1699.0,268.0,0.8637519064565328,0.7573321423254429,1967.0,6717.0
ID,Nez Perce,10357.0,7123.0,1795.0,1588.0,0.5305941472066213,0.5925057208237986,3383.0,17480.0
ID,Oneida,1724.0,381.0,1248.0,71.0,0.9461713419257013,0.8190023752969121,1319.0,2105.0
ID,Owyhee,3024.0,944.0,1646.0,205.0,0.8892490545651,0.7620967741935484,1851.0,3968.0
ID,Payette,5988.0,2415.0,1428.0,453.0,0.759170653907496,0.7126026419136022,1881.0,8403.0
ID,Power,1754.0,1027.0,296.0,224.0,0.5692307692307692,0.6307083782811939,520.0,2781.0
ID,Shoshone,2953.0,2521.0,474.0,2121.0,0.18265895953757225,0.5394592619656559,2595.0,5474.0
ID,Teton,2263.0,2302.0,669.0,591.0,0.530952380952381,0.4957283680175246,1260.0,4565.0
ID,Twin Falls,19032.0,8621.0,4497.0,1178.0,0.7924229074889868,0.6882435902072108,5675.0,27653.0
ID,Valley,2772.0,2405.0,1596.0,380.0,0.8076923076923077,0.5354452385551478,1976.0,5177.0
ID,Washington,3168.0,1241.0,1503.0,489.0,0.7545180722891566,0.7185302789748242,1992.0,4409.0
IL,ADAMS,18711.0,11794.0,7197.0,6513.0,0.524945295404814,0.6133748565808884,13710.0,30505.0
IL,ALEXANDER,1692.0,2189.0,409.0,1997.0,0.16999168744804655,0.4359701107961865,2406.0,3881.0
IL,BOND,3947.0,3843.0,1555.0,1932.0,0.44594207054774876,0.5066752246469833,3487.0,7790.0
IL,BOONE,10403.0,11333.0,6377.0,4811.0,0.5699856989631749,0.4786069193963931,11188.0,21736.0
